[0316/145148.272:INFO:CONSOLE(1)] "Long rAF frame-time", source: file:///C:/Program%20Files/Adobe/Adobe%20Photoshop%202020/Required/www-rich-tooltips/build/external.js (1)
[0316/151043.648:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0316/151043.875:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0316/151043.915:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0316/151052.251:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0316/151052.892:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0316/151140.977:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0316/151213.412:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0316/151322.958:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0316/151601.506:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0316/151604.325:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0316/151606.528:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0316/152238.642:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
